Time   Error  Velocity P_Term
   0,  -150,  -12500.001,   750
  51,  -150,  11500.001,   750
 101,  -147,  -6404.300,   738
 151,  -143,  1590.307,   717
 201,  -138,  107.532,   690
 251,  -132,  125.106,   660
 301,  -125,  144.246,   627
 351,  -118,  146.334,   591
 401,  -110,  152.076,   553
 451,  -102,  160.776,   514
 501,   -94,  165.997,   473
 551,   -86,  163.560,   432
 601,   -78,  160.428,   391
 651,   -70,  160.777,   351
 701,   -61,  175.043,   309
 751,   -53,  156.948,   268
 801,   -45,  168.259,   227
 851,   -37,  155.730,   187
 901,   -29,  177.306,   145
 951,   -20,  156.426,   104
1001,   -12,  159.557,    64
1051,    -4,  155.035,    24
1101,     2,  132.936,   -11
1151,     8,  101.268,   -40
1201,    10,  -32.886,   -50
1251,     9,  16.530,   -49
1301,     9,  -19.836,   -45
1351,     7,  -40.543,   -38
1401,     5,  -48.545,   -27
1451,     3,  -34.452,   -17
1501,     1,  -40.542,    -7
1551,     0,  -41.412,     2
1601,    -1,  -8.700,     8
1651,    -1,   6.264,     9
1701,    -1,  -9.222,     9
1751,    -1,  19.140,     7
1801,    -1,   2.436,     5
1851,     0,  10.440,     3
1901,     0,  12.701,     0
1951,     0,   0.001,     0
2001,     0,  -2.784,     0
2051,     0,   4.176,     0
2101,     0,  -1.566,     0
2151,     0,   0.000,     0
